id,专业类别,亚专科,疾病/场景,中文名称,英文名称,输入,输出,量表/方程,评分解读,用途,来源类型,来源/指南,来源链接,获取渠道,真实性层级,常用程度,覆盖说明,临床使用说明,版本/年份,条目来源,来源分组,备注
CALC-0001,急诊与重症医学,,GLASGOW昏迷评分,GLASGOW昏迷评分,Glasgow Coma Scale,量表条目；临床表现；体征或检查结果,GLASGOW昏迷评分总分或风险分层,"睁眼
自发 (4 分)
对口头命令 (3 分)
对疼痛 (2 分)
无 (1 分)
最佳活动反应
遵从口头命令 (6 分)
定位疼痛刺激 (5 分)
对疼痛刺激的弯曲收缩 (4 分)
对疼痛刺激的去皮质反应 (3 分)
对疼痛刺激的去大脑反应 (2 分)
无 (1 分)
最佳语言反应
交谈正常 (5 分)
交谈异常 (4 分)
用词不当 (3 分)
用词无法理解 (3 分)
声音无法理解 (2 分)
无 (1 分)","15 分数:	正常
3 - 14 分数:	异常",症状/功能量表,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0002,急诊与重症医学,,Na排泄分数,Na排泄分数,Fractional Excretion of Sodium,"尿钠,血清钠,尿肌酐,血清钠酐",钠排泄分数,FENa(钠排泄分数) = (尿钠 / 血清钠) / (尿肌酐 / 血清肌酐) * 100,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0003,急诊与重症医学,,PaO2 / FIO2 比值（MODS计算）,PaO2 / FIO2 比值（MODS计算）,PaO2/FiO2 Ratio,"动脉氧分压,吸入氧浓度",动脉氧分压吸入氧浓度比率,动脉氧分压吸入氧浓度比率 = 动脉氧分压 / 吸入氧浓度,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,公式计算/生理指标,医学计算器平台,Merck Manual clinical calculators,https://www.merckmanuals.com/professional/pages-with-widgets/clinical-calculators,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0004,急诊与重症医学,,SOFA评分,SOFA评分,SOFA Score,"氧合指数(PaO₂/FiO₂), 血小板计数(×10³/µL), 格拉斯哥昏迷指数(GCS), 总胆红素(mg/dL), 平均动脉压(MAP)/血管加压药, 肌酐(mg/dL)/尿量(mL/day)",总SOFA评分,1. PaO₂/FiO₂(mm Hg): ≥400=0;300-399=1;200-299=2;100-199(呼吸支持)=3;<100(呼吸支持)=4; 2. 血小板(×10³/µL): ≥150=0;100-149=1;50-99=2;20-49=3;<20=4; 3. GCS:15=0;13-14=1;10-12=2;6-9=3;<6=4; 4. 胆红素(mg/dL):<1.2=0;1.2-1.9=1;2.0-5.9=2;6.0-11.9=3;≥12=4; 5. MAP/血管加压药: 无低血压=0;MAP<70=1;多巴胺≤5或多巴酚丁胺=2;多巴胺>5或肾上腺素≤0.1或去甲≤0.1=3;多巴胺>15或肾上腺素>0.1或去甲>0.1=4; 6. 肌酐/尿量:<1.2=0;1.2-1.9=1;2.0-3.4=2;3.5-4.9或尿量<500=3;≥5或尿量<200=4,总分0-24分，分值越高提示器官功能障碍越严重,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,呼吸支持包括机械通气或高流量吸氧
CALC-0005,急诊与重症医学,,体表面积（Du Bois 法）,体表面积（Du Bois 法）,Body Surface Area by Du Bois Formula,"身高,体重",体表面积,体表面积(BSA) = 0.007184 * 身高^0.725 * 体重^0.425,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0006,急诊与重症医学,,儿童气管导管大小（1 到 8 周岁）,儿童气管导管大小（1 到 8 周岁）,Pediatric Endotracheal Tube Size,年龄,无囊气管导管大小,无囊气管导管大小= 4 +（年龄/4）,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0007,急诊与重症医学,,儿童气管导管大小（1 到 8 周岁）,儿童气管导管大小（1 到 8 周岁）,Pediatric Endotracheal Tube Size,年龄,有囊气管导管大小,有囊气管导管大小= 3.5 +（年龄/4）,输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0008,急诊与重症医学,,平均血管压力（体循环或肺循环）,平均血管压力（体循环或肺循环）,Mean Arterial or Vascular Pressure,"收缩压,舒张压",平均血管压力,平均血管压力 = 舒张压 + ((收缩压 - 舒张压) / 3),输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
CALC-0009,急诊与重症医学,,序贯器官衰竭评估（快速）：qSOFA 评分,序贯器官衰竭评估（快速）：qSOFA 评分,Quick Sequential Organ Failure Assessment,"Glasgow 昏迷评分,收缩压,呼吸频率",qSOFA评分,qSOFA评分 = gcsp + rrp + sysbpp,"2 - 3 分值:	高风险
0 - 1 分值:	非高风险",临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,"Glasgow 昏迷量表评分 15 需要满足以下所有条件：自动睁眼；对人物 定向准确；可依指令动作。如果此评分低于 15，gcsp 设为 1。
对于此计算，当呼吸频率为 ≥22 次/分时，rrp = 1 , 当呼吸频率低于此时为 0 。当收缩压为 ≤100 mmHg时， sysbpp 设为 1 ，收缩压高于此值时设为 0。"
CALC-0010,急诊与重症医学,,心输出量,心输出量,Cardiac Output,"Hgb,O2Sat,PaO2",CaO2,CaO2 = ( Hgb * 13.4 * O2Sat / 100 ) + ( PaO2 * 0.031 ),输出为连续数值或生理指标；具体单位、正常范围和临床阈值按外部来源执行,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源验证,,
