alias_id,canonical_id,reason
CALC-0268,CALC-0001,exact duplicate name implementation and input contract
CALC-0318,CALC-0001,exact duplicate name implementation and input contract
CALC-0126,CALC-0002,exact duplicate name implementation and input contract
CALC-0038,CALC-0005,exact duplicate name implementation and input contract
CALC-0130,CALC-0005,exact duplicate name implementation and input contract
CALC-0231,CALC-0005,exact duplicate name implementation and input contract
CALC-0007,CALC-0006,exact duplicate name implementation and input contract
CALC-0040,CALC-0008,exact duplicate name implementation and input contract
CALC-0280,CALC-0008,exact duplicate name implementation and input contract
CALC-0041,CALC-0010,exact duplicate name implementation and input contract
CALC-0042,CALC-0011,exact duplicate name implementation and input contract
CALC-0043,CALC-0012,exact duplicate name implementation and input contract
CALC-0044,CALC-0013,exact duplicate name implementation and input contract
CALC-0045,CALC-0014,exact duplicate name implementation and input contract
CALC-0046,CALC-0015,exact duplicate name implementation and input contract
CALC-0047,CALC-0016,exact duplicate name implementation and input contract
CALC-0048,CALC-0017,exact duplicate name implementation and input contract
CALC-0144,CALC-0018,exact duplicate name implementation and input contract
CALC-0211,CALC-0018,exact duplicate name implementation and input contract
CALC-0032,CALC-0031,exact duplicate name implementation and input contract
CALC-0166,CALC-0031,exact duplicate name implementation and input contract
CALC-0167,CALC-0031,exact duplicate name implementation and input contract
CALC-0209,CALC-0031,exact duplicate name implementation and input contract
CALC-0210,CALC-0031,exact duplicate name implementation and input contract
CALC-0271,CALC-0031,exact duplicate name implementation and input contract
CALC-0272,CALC-0031,exact duplicate name implementation and input contract
CALC-0273,CALC-0031,exact duplicate name implementation and input contract
CALC-0274,CALC-0031,exact duplicate name implementation and input contract
CALC-0319,CALC-0031,exact duplicate name implementation and input contract
CALC-0320,CALC-0031,exact duplicate name implementation and input contract
CALC-0333,CALC-0031,exact duplicate name implementation and input contract
CALC-0334,CALC-0031,exact duplicate name implementation and input contract
CALC-0064,CALC-0039,exact duplicate name implementation and input contract
CALC-0106,CALC-0039,exact duplicate name implementation and input contract
CALC-0176,CALC-0039,exact duplicate name implementation and input contract
CALC-0258,CALC-0039,exact duplicate name implementation and input contract
CALC-0275,CALC-0039,exact duplicate name implementation and input contract
CALC-0276,CALC-0039,exact duplicate name implementation and input contract
CALC-0337,CALC-0039,exact duplicate name implementation and input contract
CALC-0085,CALC-0051,exact duplicate name implementation and input contract
CALC-0062,CALC-0061,exact duplicate name implementation and input contract
CALC-0163,CALC-0061,exact duplicate name implementation and input contract
CALC-0164,CALC-0061,exact duplicate name implementation and input contract
CALC-0267,CALC-0063,exact duplicate name implementation and input contract
CALC-0321,CALC-0071,exact duplicate name implementation and input contract
CALC-0097,CALC-0096,exact duplicate name implementation and input contract
CALC-0099,CALC-0098,exact duplicate name implementation and input contract
CALC-0109,CALC-0108,exact duplicate name implementation and input contract
CALC-0112,CALC-0111,exact duplicate name implementation and input contract
CALC-0304,CALC-0111,exact duplicate name implementation and input contract
CALC-0305,CALC-0111,exact duplicate name implementation and input contract
CALC-0257,CALC-0125,exact duplicate name implementation and input contract
CALC-0269,CALC-0125,exact duplicate name implementation and input contract
CALC-0169,CALC-0128,exact duplicate name implementation and input contract
CALC-0170,CALC-0129,exact duplicate name implementation and input contract
CALC-0259,CALC-0145,exact duplicate name implementation and input contract
CALC-0287,CALC-0145,exact duplicate name implementation and input contract
CALC-0188,CALC-0147,exact duplicate name implementation and input contract
CALC-0190,CALC-0149,exact duplicate name implementation and input contract
CALC-0192,CALC-0150,exact duplicate name implementation and input contract
CALC-0248,CALC-0150,exact duplicate name implementation and input contract
CALC-0325,CALC-0150,exact duplicate name implementation and input contract
CALC-0193,CALC-0151,exact duplicate name implementation and input contract
CALC-0194,CALC-0152,exact duplicate name implementation and input contract
CALC-0195,CALC-0153,exact duplicate name implementation and input contract
CALC-0196,CALC-0154,exact duplicate name implementation and input contract
CALC-0228,CALC-0173,exact duplicate name implementation and input contract
CALC-0229,CALC-0174,exact duplicate name implementation and input contract
CALC-0230,CALC-0175,exact duplicate name implementation and input contract
CALC-0232,CALC-0177,exact duplicate name implementation and input contract
CALC-0291,CALC-0191,exact duplicate name implementation and input contract
CALC-0278,CALC-0234,exact duplicate name implementation and input contract
CALC-0279,CALC-0235,exact duplicate name implementation and input contract
CALC-0283,CALC-0237,exact duplicate name implementation and input contract
CALC-0284,CALC-0238,exact duplicate name implementation and input contract
CALC-0309,CALC-0247,exact duplicate name implementation and input contract
CALC-0301,CALC-0300,exact duplicate name implementation and input contract
CALC-0323,CALC-0322,exact duplicate name implementation and input contract
CALC-0324,CALC-0322,exact duplicate name implementation and input contract
CALC-0369,CALC-0368,exact duplicate name implementation and input contract
CALC-0371,CALC-0370,exact duplicate name implementation and input contract
CALC-0185,CALC-0187,fragmented BMI preprocessing row merged into the complete Bang diabetes risk score
CALC-0186,CALC-0187,fragmented BMI points row merged into the complete Bang diabetes risk score
CALC-0559,CALC-0111,vague sodium risk support row merged into the executable MELD-Na calculator
