id,专业类别,中文名称,英文名称,来源/指南,来源链接,formula_feasibility,reason_if_not_directly_implemented,next_action,registry_status,pending_blocker_type,data_needed_for_code,suggested_implementation_artifact
CALC-0053,心血管医学,ASCVD 10年风险评估,ASCVD 10-Year Risk Estimator,ACC ASCVD Risk Estimator Plus,https://tools.acc.org/ascvd-risk-estimator-plus/,possible_but_model_needs_coefficients,"External calculators/papers may exist, but executable implementation needs full coefficients, caps/floors, population limits, and validation examples; not safe from title/source alone.",find original model coefficients/caps/examples or official implementation before coding,pending_formula_or_rule_implementation,model_coefficients_needed,"complete coefficients, transformations, caps, and validation examples",markdown_or_data_table_until_source_complete
CALC-0058,心血管医学,PREVENT心血管风险方程,AHA PREVENT Equations,AHA PREVENT calculator,https://professional.heart.org/en/guidelines-and-statements/prevent-calculator,possible_but_model_needs_coefficients,"External calculators/papers may exist, but executable implementation needs full coefficients, caps/floors, population limits, and validation examples; not safe from title/source alone.",find original model coefficients/caps/examples or official implementation before coding,pending_formula_or_rule_implementation,model_coefficients_needed,"complete coefficients, transformations, caps, and validation examples",markdown_or_data_table_until_source_complete
CALC-0159,肾脏与泌尿生殖,前列腺癌PCPT风险,PCPT Prostate Cancer Risk Calculator,Calculate by QxMD,https://qxmd.com/calculate/,possible_but_model_needs_coefficients,"External calculators/papers may exist, but executable implementation needs full coefficients, caps/floors, population limits, and validation examples; not safe from title/source alone.",find original model coefficients/caps/examples or official implementation before coding,pending_formula_or_rule_implementation,model_coefficients_needed,"complete coefficients, transformations, caps, and validation examples",markdown_or_data_table_until_source_complete
CALC-0202,内分泌、代谢与电解质,FRAX骨折风险,FRAX Fracture Risk Assessment,Calculate by QxMD,https://qxmd.com/calculate/,possible_but_model_needs_coefficients,"External calculators/papers may exist, but executable implementation needs full coefficients, caps/floors, population limits, and validation examples; not safe from title/source alone.",find original model coefficients/caps/examples or official implementation before coding,pending_formula_or_rule_implementation,model_coefficients_needed,"complete coefficients, transformations, caps, and validation examples",markdown_or_data_table_until_source_complete
CALC-0256,儿科学,新生儿早发败血症风险,Neonatal Early-Onset Sepsis Calculator,Calculate by QxMD,https://qxmd.com/calculate/,possible_but_model_needs_coefficients,Complete coefficients baseline incidence constraints and management-version validation are required.,obtain and validate the complete model version,pending_formula_or_rule_implementation,model_coefficients_needed,complete coefficients baseline incidence constraints and validation examples,markdown_or_data_table_until_source_complete
CALC-0261,妇产科学,MFMU剖宫产后阴道试产预测,MFMU VBAC Calculator,MFMU VBAC calculator,https://mfmunetwork.bsc.gwu.edu/web/mfmunetwork/vaginal-birth-after-cesarean-calculator,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0330,创伤、中毒与职业损伤,对乙酰氨基酚中毒列线图,Rumack-Matthew Nomogram,MDCalc calculator library,https://www.mdcalc.com/,possible_but_requires_chart_digitization,Nomogram requires curve/table digitization or authoritative formula; external source is not enough unless numeric thresholds are available.,find numeric table/formula; otherwise leave as non-executable,pending_formula_or_rule_implementation,chart_digitization_needed,digitized nomogram/chart data and validation examples,markdown_or_data_table_until_source_complete
CALC-0378,临床药理、诊断统计与通用工具,饮酒筛查问卷调查,Alcohol Screening Questionnaire,MDCalc calculator library,https://www.mdcalc.com/,limited_by_questionnaire_rights,Can implement scoring from pre-coded item scores if scoring rules are public; should not reproduce protected item text or copyrighted instruments without license.,score only coded item values; do not include protected questionnaire text,pending_formula_or_rule_implementation,rights_limited_questionnaire,permission-safe scored inputs or licensing clearance,markdown_or_data_table_until_source_complete
CALC-0381,临床药理、诊断统计与通用工具,华法林维持剂量辅助,Warfarin Dose Estimation,Calculate by QxMD,https://qxmd.com/calculate/,not_single_formula_drug_rule,Adjustment depends on indication target INR interactions and local protocol.,retain as versioned medication guidance,pending_formula_or_rule_implementation,drug_rule,versioned anticoagulation protocol monitoring and safety constraints,markdown_or_data_table_until_source_complete
CALC-0385,临床药理、诊断统计与通用工具,氨基糖苷给药间隔估算,Aminoglycoside Dosing Interval,Merck Manual clinical calculators,https://www.merckmanuals.com/professional/pages-with-widgets/clinical-calculators,not_single_formula_drug_rule,"Medication/TDM/pharmacogenomic rows require drug-specific label/guideline rules, target ranges, patient context, and versioning; external sources can supply rules but not one universal formula.",requires drug-specific rule engine and guideline/version governance,pending_formula_or_rule_implementation,drug_rule,"drug-specific dosing/TDM rules, monitoring conditions, and safety constraints",markdown_or_data_table_until_source_complete
CALC-0389,眼科,屈光术后人工晶体计算,Post-Refractive IOL Calculator,ASCRS IOL calculator,https://iolcalc.ascrs.org/,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
CALC-0393,眼科,青光眼视野损害分级,Glaucoma Visual Field Staging,AAO Preferred Practice Patterns,https://www.aao.org/preferred-practice-pattern,needs_manual_research,No sufficient formula cue in local metadata; needs targeted source search and source-quality decision.,perform targeted source search and decide implementation type,pending_formula_or_rule_implementation,manual_research_needed,reliable source and formula-level details,markdown_or_data_table_until_source_complete
