id,专业类别,亚专科,疾病/场景,中文名称,英文名称,输入,输出,量表/方程,评分解读,用途,来源类型,来源/指南,来源链接,获取渠道,真实性层级,常用程度,覆盖说明,临床使用说明,版本/年份,条目来源,来源分组,备注,剔除原因
EXCLUDED-0001,影像、实验室、遗传与公共卫生,实验室,溶血,溶血指数解释,Hemolysis Index Interpretation,溶血指数；受影响项目；钾/LDH/AST等,样本干扰提示,实验室阈值解释,用于检验结果可靠性判断,质量改进/流程评估,实验室规则,Clinical laboratory hemolysis index,https://www.merckmanuals.com/professional/pages-with-widgets/clinical-calculators,网络整理/专科候选扩展,D：候选条目，需逐条回源验证,低到中：可能为亚专科、研究或低频场景,长尾覆盖；用于扩库，不代表高频,可能真实存在，但需逐条确认来源、版权、适用范围和临床价值,,外部来源扩展补充,,,来源层级为候选或待审核，未达到可靠来源要求
EXCLUDED-0002,康复、儿科、老年与行为量表扩展,口腔睡眠医学,睡眠呼吸暂停,牙科睡眠医学STOP-Bang扩展转诊提示,Dental Sleep Medicine STOP-Bang Referral Support,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0003,康复、儿科、老年与行为量表扩展,儿童睡眠,睡眠问题,儿童睡眠习惯问卷,"Children's Sleep Habits Questionnaire, CSHQ",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0004,康复、儿科、老年与行为量表扩展,儿童睡眠,婴儿睡眠,婴儿睡眠简明问卷,"Brief Infant Sleep Questionnaire, BISQ",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0005,康复、儿科、老年与行为量表扩展,儿童营养,进食行为,儿童进食行为问卷,"Child Eating Behavior Questionnaire, CEBQ",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0006,康复、儿科、老年与行为量表扩展,吞咽康复,吞咽障碍,老年吞咽功能FOIS分级,"Functional Oral Intake Scale, FOIS",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0007,康复、儿科、老年与行为量表扩展,吞咽康复,吞咽障碍,吞咽生活质量量表,"Swallowing Quality of Life, SWAL-QOL",患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0008,康复、儿科、老年与行为量表扩展,手功能康复,上肢功能,手功能Jebsen-Taylor测试,Jebsen-Taylor Hand Function Test,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0009,康复、儿科、老年与行为量表扩展,手功能康复,精细运动,九孔插板测试,Nine-Hole Peg Test,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
EXCLUDED-0010,康复、儿科、老年与行为量表扩展,卒中康复,运动功能,Fugl-Meyer运动功能评定,Fugl-Meyer Assessment,患者特征；症状条目；观察体征；功能任务；适用年龄或场景,评分、等级、风险提示或功能状态,专业量表、指南阈值或标准化测试规则,分数方向和阈值依量表版本执行,症状/功能量表,专业量表/指南,Specialty scale or guideline,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,外部来源扩展补充,,,核心信息描述过于空泛，需补充具体条目/方程/解读
