id,implementation_status,implementation_reason,implementation_type,code_module,required_inputs,verification_status,implementation_source_basis,pending_blocker_type,专业类别,中文名称,英文名称,来源/指南,来源链接
CALC-0001,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.emergency_scores,eye; verbal; motor,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,GLASGOW昏迷评分,Glasgow Coma Scale,MDCalc calculator library,https://www.mdcalc.com/
CALC-0002,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.renal,urine_sodium_mEq_l; serum_sodium_mEq_l; urine_creatinine_mg_dl; serum_creatinine_mg_dl,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,Na排泄分数,Fractional Excretion of Sodium,MDCalc calculator library,https://www.mdcalc.com/
CALC-0003,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.emergency_rules_more,pao2_mm_hg; fio2,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,PaO2 / FIO2 比值（MODS计算）,PaO2/FiO2 Ratio,Merck Manual clinical calculators,https://www.merckmanuals.com/professional/pages-with-widgets/clinical-calculators
CALC-0004,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.critical_care_scores,respiration; coagulation; liver; cardiovascular; cns; renal,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,SOFA评分,SOFA Score,MDCalc calculator library,https://www.mdcalc.com/
CALC-0005,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.general,height_cm; weight_kg,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,体表面积（Du Bois 法）,Body Surface Area by Du Bois Formula,MDCalc calculator library,https://www.mdcalc.com/
CALC-0006,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.emergency_rules_more,age_years; cuffed,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,儿童气管导管大小（1 到 8 周岁）,Pediatric Endotracheal Tube Size,MDCalc calculator library,https://www.mdcalc.com/
CALC-0007,merged_alias,Exact duplicate merged into canonical calculator CALC-0006.,compatibility_alias,CALC-0006,age_years; cuffed,alias_resolution_and_canonical_tests,canonical implementation and source metadata,,急诊与重症医学,儿童气管导管大小（1 到 8 周岁）,Pediatric Endotracheal Tube Size,MDCalc calculator library,https://www.mdcalc.com/
CALC-0008,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.emergency_rules_more,systolic_pressure_mm_hg; diastolic_pressure_mm_hg,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,平均血管压力（体循环或肺循环）,Mean Arterial or Vascular Pressure,MDCalc calculator library,https://www.mdcalc.com/
CALC-0009,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.emergency_scores,respiratory_rate; systolic_bp; altered_mentation,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,序贯器官衰竭评估（快速）：qSOFA 评分,Quick Sequential Organ Failure Assessment,MDCalc calculator library,https://www.mdcalc.com/
CALC-0010,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.hemodynamics_more,hemoglobin_g_dl; oxygen_saturation_percent; pao2_mm_hg,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,心输出量,Cardiac Output,MDCalc calculator library,https://www.mdcalc.com/
CALC-0011,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.hemodynamics_more,hemoglobin_g_dl; venous_oxygen_saturation_percent; pvo2_mm_hg,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,心输出量,Cardiac Output,MDCalc calculator library,https://www.mdcalc.com/
CALC-0012,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.hemodynamics_more,oxygen_consumption_ml_min; arterial_oxygen_content_ml_dl; venous_oxygen_content_ml_dl,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,心输出量,Cardiac Output,MDCalc calculator library,https://www.mdcalc.com/
CALC-0013,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.hemodynamics_more,cardiac_output_l_min; bsa_m2,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,心输出量Multicalc,Cardiac Output Multicalc,MDCalc calculator library,https://www.mdcalc.com/
CALC-0014,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.hemodynamics_more,cardiac_output_l_min; heart_rate_bpm,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,心输出量Multicalc,Cardiac Output Multicalc,MDCalc calculator library,https://www.mdcalc.com/
CALC-0015,implemented,formula logic is linked in Python registry,python_executable,clinical_calculators.calculators.common.hemodynamics_more,stroke_volume_ml; bsa_m2,unit_tests_and_registry_smoke,external source and formula details represented in registry metadata,,急诊与重症医学,心输出量Multicalc,Cardiac Output Multicalc,MDCalc calculator library,https://www.mdcalc.com/
