query,expected_ids,locale,category,critical,note
GLASGOW昏迷评分,CALC-0001,zh-CN,direct,no,库存中文名称与CALC-0001一致
Na排泄分数,CALC-0002,zh-CN,direct,no,库存中文名称与CALC-0002一致
PaO2 / FIO2 比值（MODS计算）,CALC-0003,zh-CN,direct,no,库存中文名称与CALC-0003一致
SOFA评分,CALC-0004,zh-CN,direct,no,库存中文名称与CALC-0004一致
体表面积（Du Bois 法）,CALC-0005,zh-CN,direct,no,库存中文名称与CALC-0005一致
儿童气管导管大小（1 到 8 周岁）,CALC-0006,zh-CN,direct,no,库存中文名称与CALC-0006一致
平均血管压力（体循环或肺循环）,CALC-0008,zh-CN,direct,no,库存中文名称与CALC-0008一致
序贯器官衰竭评估（快速）：qSOFA 评分,CALC-0009,zh-CN,direct,no,库存中文名称与CALC-0009一致
理想体重,CALC-0018,zh-CN,direct,no,库存中文名称与CALC-0018一致
APACHE II评分,CALC-0019,zh-CN,direct,no,库存中文名称与CALC-0019一致
HEART胸痛评分,CALC-0020,zh-CN,direct,no,库存中文名称与CALC-0020一致
NEWS2早期预警评分,CALC-0021,zh-CN,direct,no,库存中文名称与CALC-0021一致
NEXUS颈椎影像规则,CALC-0022,zh-CN,direct,no,库存中文名称与CALC-0022一致
PERC肺栓塞排除规则,CALC-0023,zh-CN,direct,no,库存中文名称与CALC-0023一致
SIRS标准,CALC-0024,zh-CN,direct,no,库存中文名称与CALC-0024一致
休克指数,CALC-0025,zh-CN,direct,no,库存中文名称与CALC-0025一致
加拿大头颅CT规则,CALC-0026,zh-CN,direct,no,库存中文名称与CALC-0026一致
EuroSCORE评分心脏手术风险评估（附加版）,CALC-0027,zh-CN,direct,no,库存中文名称与CALC-0027一致
MILBBB胸痛鉴别,CALC-0028,zh-CN,direct,no,库存中文名称与CALC-0028一致
MI溶栓治疗颅内出血风险,CALC-0029,zh-CN,direct,no,库存中文名称与CALC-0029一致
PTCA死亡率预测,CALC-0030,zh-CN,direct,no,库存中文名称与CALC-0030一致
QT间期校正 (EKG),CALC-0031,zh-CN,direct,no,库存中文名称与CALC-0031一致
Romhilt-Estes诊断左心室肥厚的标准,CALC-0033,zh-CN,direct,no,库存中文名称与CALC-0033一致
ST段抬高型心肌梗死溶栓（TIMI）评分,CALC-0034,zh-CN,direct,no,库存中文名称与CALC-0034一致
不稳定型心绞痛结局预测,CALC-0035,zh-CN,direct,no,库存中文名称与CALC-0035一致
不稳定型心绞痛非ST段抬高型心肌梗死溶栓（TIMI）评分,CALC-0036,zh-CN,direct,no,库存中文名称与CALC-0036一致
与HAS-BLED出血风险评分对应的临床特点,CALC-0037,zh-CN,direct,no,库存中文名称与CALC-0037一致
体质指数（凯特勒指数）,CALC-0039,zh-CN,direct,no,库存中文名称与CALC-0039一致
房颤中风危险的CHA（2）DS（2）-VASc评分,CALC-0049,zh-CN,direct,no,库存中文名称与CALC-0049一致
深静脉血栓形成概率：Wells评分系统,CALC-0050,zh-CN,direct,no,库存中文名称与CALC-0050一致
肺栓塞可能性：Wells评分系统,CALC-0051,zh-CN,direct,no,库存中文名称与CALC-0051一致
非Q波心肌梗死预测,CALC-0052,zh-CN,direct,no,库存中文名称与CALC-0052一致
DAPT评分,CALC-0054,zh-CN,direct,no,库存中文名称与CALC-0054一致
Duke跑台评分,CALC-0055,zh-CN,direct,no,库存中文名称与CALC-0055一致
GRACE急性冠脉综合征风险评分,CALC-0056,zh-CN,direct,no,库存中文名称与CALC-0056一致
ORBIT房颤出血风险评分,CALC-0057,zh-CN,direct,no,库存中文名称与CALC-0057一致
RCRI围手术期心脏风险指数,CALC-0059,zh-CN,direct,no,库存中文名称与CALC-0059一致
